content,content_preprocessed,sentimen
"Pelayanan masih jelek, masak robot yang jawap keluhan,ditanya masalah ktp buram nggak ada solusinya",layan masih jelek masak robot jawap keluh ktp buram tidak solusi,NEGATIVE
Gak bisah login😭,tidak bisah,NEGATIVE
Team dana tidak bisa membantu proses pembobolan di saldo dana sya. Sya sangat kecewa dg tem dana... Kalo bisa penipu akunnya di bekukan.,team tidak bisa bantu proses bobol saldo sangat kecewa tem bisa tipu akun beku,NEGATIVE
"kenapa dana saya kena proteksi? saya mau bayar SPP loh kak kenapa pakek di persulit sihh, SPP saya udah nunggak kakak!!!",proteksi bayar spp pakek sulit sihh spp nunggak kakak,NEGATIVE
"Apa apaan ini ,,dana saya hilang truss,app gk jelass gk usah di download",hilang truss tidak jelass tidak download,NEGATIVE
mumudahkan saya,mumudahkan,POSITIVE
bgus.,bagus,NEGATIVE
KINI G LAGI SIDAH BAGUS,tidak lagi sidah bagus,NEUTRAL
lebih memudahkan dalam bertransaksi,mudah transaksi,POSITIVE
mohon dana payleter segera di liris,payleter liris,NEGATIVE
Ko susah login karena proteksi terus,kok sulit proteksi terus,NEGATIVE
"Apa sih tiap buka apk selalu ada tulisan sistem sedang sibuk,sibuk apaan sih lu?sibuk nyapres apa kampanye",sih buka selalu tulis sistem sibuk sibuk sih sibuk nyapres kampanye,NEGATIVE
Aman baik,aman baik,POSITIVE
"kalau bisa agak dikurangi harga modal pulsanya, karna kalau di bandingkan dgn yg laen agak lebih mahal beli pulsa pakai dana",bisa rang harga modal pulsa banding laen mahal beli pulsa,NEGATIVE
Sangat membatu saya terimakasih Dana,sangat batu terima kasih,POSITIVE
Saya selalu setia sama dana,selalu setia,POSITIVE
mantap mudah bertransaksi,mantap mudah transaksi,POSITIVE
ok dah,oke,NEGATIVE
Dana paylaternya gk ada,paylaternya tidak,NEUTRAL
Kocak ga niat ngasih hadiah jangan kocak ngabisin saldo aja,kocak tidak niat ngasih hadiah jangan kocak habis saldo,NEGATIVE
Mantap sangat membantu,mantap sangat bantu,POSITIVE
sangat membantu semua jadi mudah,sangat bantu mudah,POSITIVE
agus,agus,POSITIVE
"Bintang 2 dlu, waktu top up ke dana. Saldo saya tiba2 mengirim sendiri ke nomor lain.sampai uang kembali baru saya kasih bintang 5.Mohon maaf sebelumnya. Karena saya sdh lapor tetapi tanggapannya ckp lambat.mohon maaf",bintang isi saldo saldo kirim nomor uang kasih bintang maaf lapor tanggap ckp lambat maaf,NEUTRAL
Bagus semoga makin di perketat keamanannya,bagus moga ketat aman,POSITIVE
Suka dong tarik dana,suka dong tarik,POSITIVE
tinjauan respon ketika pengguna dalam masalah tidak di konfirmasi hingga jelas dan selesai,tinjau respons guna tidak konfirmasi selesai,NEUTRAL
"saya top up ke dana transaksi behasil tp uang saya tidak bertambah,,, sdah lapor ke asisten sistem tp tidak ada tindakan sama sekali",isi saldo transaksi behasil uang tidak tambah sdah lapor asisten sistem tidak tindak,NEUTRAL
oke tp sayang ga bisa ganti nmr hp,oke sayang tidak bisa ganti nmr handphone,NEUTRAL
"Dduucchh... Udah update update lagi ini? Sering banget update tapi pas buka aplikasi, lola... Wwhhuuffhh...",dduucchh update update lagi sering banget update tapi pas buka lola wwhhuuffhh,NEGATIVE
"Gw ngadu akun dana gw gabisa dibuka tpi g ada respon sama sekali dari customer service, katanya nunggu beberapa hari udh beberapa minggu bos masih ga ada respon bos. Ngemail udh beberapa kali ttp gh g ada respon. Dahlah terserah",ngadu akun tidak bisa buka tidak respons customer service tunggu minggu bos masih tidak respons bos ngemail ttp gh tidak respons dah serah,NEGATIVE
Ini gimana si? Aku baru download tapi kok ga bisa bikin akun? Tampilan nya langsung masuk ke akun yg sudah ada tpi disini posisi nya saya blum punya akun. Tolong dong,si download tapi kok tidak bisa bikin akun tampil akun posisi belum akun tolong dong,NEGATIVE
kalau bisa jangan kalah sama aplikasi sebelah...aplikasi sebelah aja bisa 100x transfer gratis...,bisa jangan kalah belah belah bisa transfer gratis,NEGATIVE
Jelek banget sering gangguan kasi bintang 1 aja,jelek banget sering ganggu kasi bintang,NEGATIVE
"Admin nya ngk jls saldo saya hilang d belikan ke apk buka lapak tanpa sepengetahuan saya,saya minta kembalikan saldo saya malah nggk d respon tolong aplikasi dana penjelasan nya gmna ini",ngk saldo hilang belikan buka lapak tanpa tahu kembali saldo tidak respons tolong jelas,NEUTRAL
"Sy pengguna udh lama ,masa giliran masuk di mntk kode OTP , kamrin masuk cuma make sensor muka saja bisa masuk ,",guna gilir mntk kode kode otp kamrin sensor muka bisa,NEGATIVE
Sangat kecewa uang 500rb hilang begitu saja pihak dana tidak bertanggung jawab atas transaksi yg tidak saya lakukan,sangat kecewa uang hilang tidak tanggung transaksi tidak laku,NEGATIVE
siipp,siipp,NEGATIVE
Kenapa susah banget upgrade ke premium,sulit banget upgrade premium,NEGATIVE
Cepat dan terpercaya,cepat percaya,POSITIVE
"jangan mau pake aplikasi ini, ke amananya masih minim, saya abis kehilangan saldo saya sebesar 45000, ada transaksi otomatis , padahal saya tidak pernah melakukan transaksi itu, dan pihak dana babi, tidak tanggung jawab sekali",jangan amananya masih minim abis hilang saldo transaksi otomatis tidak transaksi babi tidak tanggung,NEGATIVE
Gampang dan mudah utk bertransaksi,mudah mudah transaksi,POSITIVE
membantu transaksi,bantu transaksi,POSITIVE
Kenapa sy susah masuk ke akun dana,sulit akun,NEGATIVE
"apk parah, mau upgrade aja susah, mau transfer2 jd susah krn harus upgrade dulu ke premium, sedangkan duit nya mau di pake, parah!!!",parah upgrade sulit sulit upgrade premium uang parah,NEGATIVE
good job klu bisa free admin,bagus job bisa free,NEUTRAL
Sekarang keamanannya kurang Masa tiba tiba bisa kirim uang sendiri sampai saldo abiss,aman kurang bisa kirim uang saldo abiss,NEUTRAL
mengapa dana tidak ada fitur paylater nya atau peminjamanya?? saya sangat menunggu,tidak fitur paylater peminjamanya sangat tunggu,NEGATIVE
apk konyol banyak malingnya,konyol maling,NEGATIVE
"Ini aplikasi gimana sih. . Mau login tapi verifikasi ga mau masuk aja. Sekarang dana jadi makin ribet, kalo udah ke hapus mau login atau daftar susah",sih tapi verifikasi tidak rumit hapus daftar sulit,NEGATIVE
"Usai di update malah gak bsa login.. Parah sangat buruk habis lah uang jajan q, perbaiki lah, tar q ganti bintangnya, sangat mengecewakan, sangat amat buruk.",update tidak bisa parah sangat buruk habis uang jajan baik tar ganti bintang sangat kecewa sangat buruk,NEGATIVE
Mau masuk ke dana harus verifikasi notif masalah nya hp gw rusak jadi gak bisa pencet notif ny,verifikasi notif handphone rusak tidak bisa pencet notif,NEUTRAL
"sulit dipercaya ,,,,keamanannya ga berani jamin , bisa transaksi tanpa login dan masukan pin , dan saldo saya dikuras abis , udah konsultasi lewat chat , dm ig juga responnya sama aj , 👎",sulit percaya aman tidak berani jamin bisa transaksi tanpa masuk pin saldo kuras abis konsultasi chat pesan ig respons,NEGATIVE
Sekarang dana udah engga aman. Uang saya tiba2 hilang 400rb.,tidak aman uang hilang,NEGATIVE
Tingkatkan lagi aplikasi ini,tingkat lagi,POSITIVE
Update k premium y terlalu lama ribet padahal saya lagi butuh pengiriman,update premium rumit lagi butuh kirim,NEGATIVE
"bagus lebih hemat, banyak promonya",bagus hemat promonya,POSITIVE
bagus banget lebih mudah,bagus banget mudah,POSITIVE
Saldo dana saya berkurang 190.000 dengan transaksi yg tidak jelas dan saya tidak pernah melakukan transaksi tersebut dari pihak dana tidak ada kejelasan sama sekali,saldo kurang transaksi tidak tidak transaksi tidak jelas,NEGATIVE
Saya mau komplain saya dapat tranferan basr tapi saldo tidak bertambah.. coba jelaskan.. saya fikir aman di aplikasi ini ternyata tidak aman.bukti tranferan ada tapi saldo tidak masuk di hubungi via WhatsApp via email.tak ada tangpan ..merasa di permainkan dan membuat saya mengalami kerugian bsar. Dah saran saya buat penguna lain harap hati2,keluh tranferan basr tapi saldo tidak tambah coba fikir aman tidak aman bukti tranferan tapi saldo tidak hubung via whatsapp via email tidak tangpan main alami rugi bsar saran penguna harap,NEGATIVE
"tidak bisa menerima kode otp karena no id dana saya telah hilang dari hp saya, bagaimana solusinya ?",tidak bisa terima kode kode otp nomor id hilang handphone solusi,NEUTRAL
"Apk nya bagus sekali, mudah cepat dan tanpa ribet makasih DANA 🥰",bagus mudah cepat tanpa rumit terima kasih,POSITIVE
simpel👌✌️,simpel,NEUTRAL
"E Wallet tidak berguna, isi saldo malah ilang. Ga jelas dan sangat sangat tidak rekomen",wallet tidak guna isi saldo hilang tidak sangat sangat tidak rekomendasi,NEGATIVE
"Penipuan, tiba tiba akun dana saya di tutup",tipu akun tutup,NEUTRAL
mantap 👍👍👍👍,mantap,POSITIVE
puas dgn layanan dana,puas layan,NEUTRAL
pilihan tepat dalam melakukan transaksi pembayayan,pilih transaksi pembayayan,POSITIVE
Mudah untuk transfer dan transaksi,mudah transfer transaksi,POSITIVE
Pas banget,pas banget,POSITIVE
Knp ya min kok setiap saya mau cleam riwerd atau vocher selalu gagal dan ada notif akun tidak wajar tolong di bantu min,kok cleam riwerd vocher selalu gagal notif akun tidak wajar tolong bantu,NEGATIVE
knp GK bisa tf,tidak bisa transfer,NEUTRAL
"cukup 1 bintang, karena aplikasi DANA ini tdk aman untuk nyimpan duit, suka hilang duitnya.",bintang tidak aman nyimpan uang suka hilang uang,NEGATIVE
Selalu minta otp tapi nomer sudah hilang padahal sebelumnya hanya pake vermuk/pun aja sudah bisa login sudah coba email tetapi belom ada balasan,selalu kode otp tapi nomor hilang vermuk bisa coba email belum balas,NEUTRAL
terbail,terbail,NEGATIVE
Masi lemot tapi aga mending,mas lambat tapi aga mending,NEGATIVE
aplikasi mantap,mantap,POSITIVE
Bkin malas skrang ngak bisa mentransfer ke bank slalu sja pemberitahuan bnyak yg sdang transaksi had3hh,bkin malas ngak bisa transfer bank selalu sja pemberitahuan bnyak sdang transaksi,NEGATIVE
Gimana caranya menonaktifkan akun premium,nonaktif akun premium,NEUTRAL
luar biasa membantu sekali top deh selalu upgrade DANA supaya keamanan pengguna selalu aman dan nyaman...,bantu top deh selalu upgrade aman guna selalu aman nyaman,POSITIVE
susah sekali mau kirim dana,sulit kirim,NEGATIVE
Andalan,andal,POSITIVE
Blm bs ditingkatkan ke premium krn ktp kurang jelas....tp e walet sebelah bs...gimana nih...?,belum bs tingkat premium ktp kurang walet belah bs,NEGATIVE
Deden deni177,deden,NEGATIVE
Banyak bug nya bugnya bisa kesedot 10 jt di dana hati hati,error bugnya bisa sedot hati hati,NEGATIVE
"Mohon diperbaiki bug, saat akan melampirkan file ketika pengaduan chat via DIANA. Muncul ketika mengklik menu lampiran: ""Tidak ada apl yang dapat melakukan tindakan ini""",baik error lampir file adu chat via muncul klik menu lampir tidak tindak,NEUTRAL
Dana PAYAH!! Transfer online durian pay tgl 24 januari 2024 sampai sekarang belum sampai jg.keterangan transaksi berhasil tp nyata'a gak sampe.CS pun tidak bisa berbuat apa2 akan keluhan saya.keterangan sudah menyelesaikan keluhan saya tp nyata'a lagi boro2 sampai saldo saya balik pun tidak.PAYAHHHHH..... KAPOK DAH..,payah transfer online durian bayar tgl januari belum terang transaksi hasil tidak customer service tidak bisa buat keluh terang selesai keluh lagi saldo tidak payah kapok,NEGATIVE
Aplikasiny lancar tidak ada potongan kalau transfer.pokokny mantap aplikasi dana,aplikasiny lancar tidak potong transfer pokokny mantap,POSITIVE
oke bos,oke bos,NEGATIVE
gampang ga ribet,mudah tidak rumit,NEGATIVE
"kalo ada kendala proses lama,permohonan tidak bisa di proses terus kalo ada kendala,ribet kalo ada masalah soal dana premium,ngambil uang harus premium dulu kalo ngga uang yang ada di dalem dana ga bisa di ambil",kendala proses mohon tidak bisa proses terus kendala rumit premium ambil uang premium tidak uang dalem tidak bisa ambil,NEGATIVE
Bayar pake qiris laporan y berhasil uang y belum masuk taiii.. Klo duit gw ga kembali.. Sumpah gw tuntut lo anjinggg..,bayar qiris lapor hasil uang belum tai uang tidak sumpah tuntut anjing,NEGATIVE
"makasih,dengan adanya dompet digital seperti ini bisa memudahkan segala transaksi jadi lebih mudah.",terima kasih dompet digital bisa mudah transaksi mudah,POSITIVE
saya sangat suka.. dgn aplikasi DANA.. TOP Markotop...,sangat suka top markotop,POSITIVE
"Apk eror Mulu , mau tf pas selalu bermasalah.",error terus transfer pas selalu masalah,NEGATIVE
Kenapa pas login harus minta verifikasi di hp lama. Padahal di hp lama sudah d logout/dihapus apk nya. Kenapa ga minta verifikasi via sms saja? Padahal kartunya masih aktif. Jadi saya kesulitan login. Padahal urgent butuh uangnya mau diambil di saldo nya. Mohon solusinya,pas verifikasi handphone handphone hapus tidak verifikasi via sms kartu masih aktif sulit urgent butuh uang ambil saldo solusi,NEGATIVE
Gak bisa di buka di hp oppo a37f,tidak bisa buka handphone oppo,NEUTRAL
Belum punya pengalaman,belum alam,NEGATIVE
butuh pengoptimalan lebih lanjut,butuh optimal,NEGATIVE
Uang saya ilang di sini GI mna cara balikin nya. Dana cs nya susah bangt di hubungi,uang hilang gi mna balikin customer service sulit bangt hubung,NEGATIVE
Abis clear cache data malah gabisa login. Hadeuh.,abis clear cache data tidak bisa aduh,NEGATIVE
"Akun dana awal nya doang bagus skrg makin parah,, semua transaksi payah Belajar dong dari aplikasi sebelah Kalau tidak bisa di perbaiki lebih baik tutup sekalian bikin darah tinggi naik aj parah parah ini",akun bagus parah transaksi payah ajar dong belah tidak bisa baik baik tutup bikin darah parah parah,NEGATIVE
Kagenahan si Dimas 👍👍👍👍👍,kagenahan si mas,POSITIVE
mantap jadi mudah,mantap mudah,POSITIVE
Tolong admin akun dana saya hilang no sayamati tetapi akun google ada bagaimana kah itu admin,tolong akun hilang nomor sayamati akun google kah,NEGATIVE
memudahkan pelanggan,mudah langgan,POSITIVE
dgn dana kita bisa men TF dgn cepat dan aman,bisa men transfer cepat aman,NEUTRAL
top markotop👍👍👍,top markotop,NEUTRAL
Dana saya udah sehari tetep ga bisa login gimna nih min,hari tidak bisa gimna,NEUTRAL
Ebit,ebit,POSITIVE
Bagus tapi harus di update setiap saat,bagus tapi update,NEGATIVE
Upgrade ke dana premium susah banget ga jelas salahnya di mana gagal terus gk mutu👎👎,upgrade premium sulit banget tidak salah gagal terus tidak mutu,NEGATIVE
sangat membantu skali untuk Transaksi pembayaran & pengiriman uang.. semoga senyaman ini selalu yaaa,sangat bantu skali transaksi bayar kirim uang moga nyaman selalu,POSITIVE
"Sampai saat ini saya masih menggunajan aplikasi ini, tapi tolong perbaiki performanya yg terlalu lemot serta fitur yang masih kurang sempurna. Trimakasih",masih menggunajan tapi tolong baik performa lambat fitur masih kurang sempurna trimakasih,NEGATIVE
sangat puas mengunakan pembayaran pake dana,sangat puas mengunakan bayar,POSITIVE
Bagus sekali Om Dana,bagus om,POSITIVE
gak bisa masuk akun malah di suruh verifikasi ke akun dana.gimana mau verifaksi di akun dana masuk ke akunnya aja gak bisa tolol,tidak bisa akun suruh verifikasi akun verifaksi akun akun tidak bisa tolol,NEGATIVE
Gimana sih mau tf sesama dana ajj gk bisa akhirny ku uninstall terus dh ku install ulang lgi butuh pin udh dimasukin pin.y kata.y salah akhir.y ku pencet lupa pin butuh waktu 5 menitan buat nunggu vertifikasi ke kontk tp gk dikirim jga terus dah ku pencet juga kirim kode otp Ke WhatsApp tetep jga gk dikirim.Solusi.y gmn biar bisa masuk akun dana.y lgi butuh buat kirim uang nih,sih transfer ajj tidak bisa akhirny uninstall terus install ulang lagi butuh pin dimasukin pin salah pencet lupa pin butuh menit tunggu vertifikasi kontk tidak kirim jga terus pencet kirim kode kode otp whatsapp jga tidak kirim solusi bisa akun lagi butuh kirim uang,NEGATIVE
Mhon bantuan ny gmn ni uang saya sllu d ambil ma google dlam waktu 30 menit smua uang ilang itu udah kseringan gmn untuk menghentikan nya,mhon bantu uang sllu ambil ma google menit uang hilang kseringan henti,NEGATIVE
"Dana banyak errornya sekarang, mau screenshot transaksi malah error, baru juga error udh error lagi, mohon di perbaiki karna menggangu saat melakukan aktivitas transaksi",errornya screenshot transaksi error error error lagi baik menggangu aktivitas transaksi,NEGATIVE
kok nggak bisa login padahal nomor hp dan pin sudah bener??,kok tidak bisa nomor handphone pin,NEGATIVE
Dana mulai mgk aman banyak akun yang tidak ber tanggung jawa terus bihak dana juga tanggapannya sangat lemot ngk tau gimana sangat butuh bener uwang di dalem itu.,mgk aman akun tidak ber tanggung jawa terus bihak tanggap sangat lambat ngk sangat butuh uwang dalem,NEGATIVE
Mat selalu di hati.,mat selalu hati,POSITIVE
terkadang susah klu jaringan,terkadang sulit jaring,NEGATIVE
sukses selalu buat aplikasi dana,sukses selalu,POSITIVE
sangat membantu aplikasi ini. saya suka,sangat bantu suka,POSITIVE
31st egg on his face,egg on his face,NEUTRAL
"Transaksi mudah dengan dana, meskipun terkadang eror dan tersendat-sendat karena koneksi jaringan, tapi tetap dana pilihannya",transaksi mudah terkadang error sendat sendat koneksi jaring tapi pilih,POSITIVE
brkerjasama dgn aplikasi penipu,brkerjasama tipu,NEUTRAL
bagus sangat membantu kalau pas ada saldonya,bagus sangat bantu pas saldo,POSITIVE
"Dana makin kesini semakin berat,lemot,tolong diperbaiki",kesini berat lambat tolong baik,NEGATIVE
"Katanya DANA ada paylaternya,,kapan di rilis bos",paylaternya rilis bos,NEUTRAL
Kesell susah bgt buat login dri dulu kaya gini mulu ribettt,kesell sulit banget kaya gin terus rumit,NEGATIVE
Sekarang dana banyak erornya,eror,NEGATIVE
mudah dan cepat🐸,mudah cepat,POSITIVE
Susah login whoi...harus pakai hp lama sementara hp sebelumya sudah terjual,sulit whoi handphone handphone sebelumya jual,NEGATIVE
Sangat bagus dan gampang di guna kan,sangat bagus mudah,POSITIVE
Rajin menabung ⭐⭐⭐⭐⭐,rajin tabung,NEUTRAL
"sangat bagus dan puas,mudah",sangat bagus puas mudah,POSITIVE
LuArbiaasa,luarbiaasa,POSITIVE
sangat terbantu dengan dana,sangat bantu,POSITIVE
bagus bangetdana bisa melakukan pembayaran lewat apa pun,bagus bangetdana bisa bayar,POSITIVE
Is to got verry portable insight,is to got verry portable insight,NEUTRAL
Dana emang terbaik🙂,emang baik,POSITIVE
"Walau enak ni apk ,tapi saya saranin untuk verip agr tidak ribet,saya sebagai pungguna yang paki ktp orang tua susah saat jauh",tapi saranin verip agr tidak rumit pungguna paki ktp tua sulit,NEGATIVE
Banyak penipuan di dana,tipu,NEGATIVE
Teramat sangat membantu,amat sangat bantu,POSITIVE
sangat membantu untuk segala transaksi 🙏,sangat bantu transaksi,POSITIVE
Suka ga bisa masuk aplikasi klo mau transaksi,suka tidak bisa transaksi,NEUTRAL
UANG SAYA HILANG DI APLIKASI INI!!,uang hilang,NEUTRAL
Password saya benar kenapa gagal terus masukan pinnya,password gagal terus masuk pin,NEGATIVE
saya suka DANA,suka,POSITIVE
bagus..mantaapp,bagus mantap,POSITIVE
Sy dari tengh MLM install ulang aplikasi dana. Beres suruh update LG. Dh satu bulan g beres2 tenh MLM msih ganggu g bisa. Hp masal apa gimana. Ini tuh??,tengh mlm install ulang beres suruh update lagi tidak tenh mlm masih ganggu tidak bisa handphone masal,NEGATIVE
banyak kmudahan dalam bertransaksi,kmudahan transaksi,NEUTRAL
Splater belum tersedia,splater belum sedia,NEUTRAL
Sdh 4 tahun lebih pake dana gak ada tuh dana paylater di aplikasi dana ku,tidak paylater,NEUTRAL
"Aku hapus ternyata tidak Aman aplikasi Dana ,membingungkan memang sih mudah untuk bertransaksi apapun,Aku barusan merasa kecewa ,karna Aku tertipu oleh seseorang yg tidak saya kenal mengatas namakan Dari pihak Lazada,bahwasanya sayaendapat kan uang tunai 2 juta rupiyah dengan syarat harus mengisi saldo dulu 150 ribu ke no Dana ku,setelah pengisian ternyata aplikasi nya tidak bisa di buka,apakah di shek sama orang yg nipu ITU y,mohon penjelasanya terima kasih🙏😭",hapus tidak aman bingung sih mudah transaksi apa barusan kecewa tipu tidak kenal atas nama lazada sayaendapat uang tunai rupiyah syarat isi saldo nomor isi tidak bisa buka shek tipu jasa terima kasih,NEGATIVE
"Upgrade tidak bisa, parahhhhh🦍🦍🦍🦍",upgrade tidak bisa parah,NEGATIVE
Mantap Gaes...,mantap gaes,POSITIVE
Dr thn 2022 sampe 2024 blm ada juga menu paylater di dana,thn belum menu paylater,NEUTRAL
"KTP aku sudah buram,dan saya sudah coba berkali2 masih tidak dapat di proses... saya sudah coba pake SIM C masih belum bisa juga padahal SIM aku masih baru belum ada lecet dan baret sedikitpun.... Apa tidak ada solusi lain untuk hal ini..?",ktp buram coba masih tidak proses coba sim masih belum bisa sim masih belum lecet baret sedikit tidak solusi,NEGATIVE
"Kok buat login / buka Dana gak bisa ya,tapi kalo lewat notifikasi malah bisa. Knp ya,pdhl udah di-update juga",kok buka tidak bisa tapi notifikasi bisa update,NEGATIVE
"keaman yang tidak terjaga dan tidak bertanggung jawab,setiap kali dihubungi sulit dan robot.transaksi bermasalah,tidak usah instal apk ini saran saya pengguna lama.",aman tidak jaga tidak tanggung hubung sulit robot transaksi masalah tidak instal saran guna,NEGATIVE
Membantu banget buat transaksi jdi mudah. Makasih Dana,bantu banget transaksi mudah terima kasih,POSITIVE
Cara pinjam dana,pinjam,NEUTRAL
ckup baik,ckup baik,POSITIVE
Aplikasi keren !!! rekomend bnget deh buat yang belum download !,keren rekomend banget deh belum download,POSITIVE
Saya blm tau cara gunakan inih,belum inih,NEGATIVE
saya suka aplikasi dana saya jd ga repot.bawa uang cas tenk buat aflikasi dana membantu banget,suka tidak repot bawa uang cas tenk aflikasi bantu banget,POSITIVE
Untuk akun dana sedang di proteksikan gimana penanganya?,akun proteksi penanganya,NEUTRAL
Tolong bantu login tanpa harus otp,tolong bantu tanpa kode otp,NEUTRAL
"Banyak kasus penipuan dan tidak pernah ada respon dari pihak dana mengenai kasus penipuan ini, saya korban penipuan dari seseorang yang mengatas nama kan DANA",tipu tidak respons tipu korban tipu atas nama,NEGATIVE
Sekarang sering mengalami. Gangguan tiba log out Sendiri Pas mau Login pasword sma pin Salah Padahal sudah benar... Parahhh,sering alami ganggu pas pasword pin salah parah,NEGATIVE
"Aplikasi bodoh...mau login di hp baru, harus ada verifikasi tap di hp lama , jadi saya gak bisa masuk dan saldo hilang . Hati2 kalo pake aplikasi ini gak bisa ganti hp lagi satu akun satu device . Mmpus gak lo",bodoh handphone verifikasi tap handphone tidak bisa saldo hilang tidak bisa ganti handphone lagi akun device mmpus tidak,NEGATIVE
"akun dana saya sudah premium. setelah lama saya tidak menggunakan dana dan ingin login lagi ke dana, saya lupa dengan nomor dan pasword yg saya daftarkan ke akun dana saya yg sudah premium. dan nomer itu kuga sudah tidak aktif lagi. bagaimana saya bisa login akun saya lagi.",akun premium tidak lagi lupa nomor pasword daftar akun premium nomor kuga tidak aktif lagi bisa akun lagi,NEUTRAL
Penginstalan selalu gagal setelah selesai pendownloadtan,penginstalan selalu gagal selesai pendownloadtan,NEGATIVE
pokoknya👌,pokok,POSITIVE
"Kacau sih dana gua mau liat tagihan internet kaga bisa"" udh 2 hari, parah bgt dana makin hari makin kacau, kadang"" klo login engga bisa padahal bener pin nyh. Anehhh luhh 👎👎👎👎",kacau sih liat tagih internet tidak bisa parah banget kacau kadang tidak bisa pin nyh aneh luhh,NEGATIVE
Fitur pilih kasih gaes ga semua orang bisa nikmatin semua fitur didana.. Qr sering nyangkut tapi refundnya lama itupun belum tentu acc.. Sempet nyangkut 300rb lbih proses sampe 2 minggu eh ngga diacc .. KECEWA BERAT UDAH.. Sama percuma ada cs ada sosmed tpi slow respon,fitur pilih kasih gaes tidak bisa nikmatin fitur dana qris sering tahan tapi refundnya itu belum acc sempet tahan lbih proses minggu eh tidak diacc kecewa berat customer service sosmed respons lambat,NEGATIVE
Mantap.tapi kenapa saya kok GK bisa buat akun dana .selalu gagal .mohon solusi nya,mantap tapi kok tidak bisa akun selalu gagal solusi,NEGATIVE
detek barkodenya susah,detek barkodenya sulit,NEGATIVE
Knpa aplikasi danaku lalot,dana lalot,NEUTRAL
mudah dalam bertransaksi dan aman serta amanah terus ditingkatkan ya respon penggunanya...,mudah transaksi aman amanah terus tingkat respons guna,POSITIVE
"saya baru saja mengalami sala kirim saldo dana ke nomor orang lain yang tidak saya kenal, apakah saldo saya bisa kembali? tolong responenya min terimakasih",alami sala kirim saldo nomor tidak kenal saldo bisa tolong responenya terima kasih,NEUTRAL
terimakasih banyak atas bantuan situs apk dana tersebut.,terima kasih bantu situs,POSITIVE
Minn dana saya kok ga bisa ....? Uda di donlod tapi ga bisa masuk ??,kok tidak bisa donlod tapi tidak bisa,NEGATIVE
Lebih pleksibel untuk keuntungan bersama,pleksibel untung,POSITIVE
ok simpel,oke simpel,POSITIVE
Terbaik Pakai aplikasi dana,baik,NEUTRAL
Apaan akun gw di hack 2 kali dana gw ga ada yg balikk padahal udah jelas bgt transaksi nya mending uninstal aja rugi banyak bukan nya aman malah kerugian yg didapet kata proteksi 100 % buktinya saldo saya hilang ga ada tanggung jawab nya,akun hack tidak balikk banget transaksi mending uninstal rugi bukan aman rugi didapet proteksi bukti saldo hilang tidak tanggung,NEGATIVE
Kok skrg buat transaksi kenak biaya 2500 ktanya transakai gratis tlong penjelasannya,kok transaksi nak biaya ktanya transakai gratis tolong jelas,NEUTRAL
nomor dana saya yang lama sudah mati kartunya..saya pakai nomor baru di dana..tapi kenapa email tidak bisa dipakai ya ??? sedangkan email saya cuma 1,nomor mati kartu nomor tapi email tidak bisa pakai email,NEGATIVE
"Kecewa dengan pihak DANA, Saldo DANA saya hilang... Saya harap Apk DANA ini segera dihapus...",kecewa saldo hilang harap hapus,NEGATIVE
Bener2 sulit amat mau tarik dana manual aja gk bisa. Nomor udah ilang. Padahal itu udah jelas2 ktp saya muka saya. Aneh. Makan lah itu uang saya. Gk iklas gk ridho.,sulit tarik manual tidak bisa nomor hilang ktp muka aneh makan uang tidak iklas tidak ridho,NEGATIVE
Saya berapa kali transaksi dari bca virtual gagal mulu aflikasi buruk .bber bner burik,transaksi bca virtual gagal terus aflikasi buruk bber burik,NEGATIVE
Para ini dana. Saya transaksi pake Qris berhasil. Tapi di rek tidak masuk gimana ini tanggung jawab gak. Nyesel pake apk ini yg laen jangan cobah2 paket udah banyak korban yang lihat di youtube,transaksi qris hasil tapi rekening tidak tanggung tidak nyesel laen jangan paket korban youtube,NEGATIVE
kenPa ga bisa login cok.,kenpa tidak bisa cok,NEUTRAL
Semoga baik,moga baik,POSITIVE
Aplikasi yg sangat berguna untuk kita,sangat guna,POSITIVE
terimakasih🥳,terima kasih,POSITIVE
"akhirnya bisa login lagi, makasi dana sudah memperbaiki bugnyaa",bisa lagi makas baik bugnyaa,NEUTRAL
Makasih dana,terima kasih,POSITIVE
sangat senang aplikasi ini,sangat senang,POSITIVE
Kenapa tidak bsa verifikasi??,tidak bisa verifikasi,NEGATIVE
Saya baru saja di tipu mending pakek atm aja yang jelas dan real dana sekrang banyak yang nipu,tipu mending pakek atm real sekrang tipu,NEGATIVE
Kenapa tidk bisa transfer dana k dana orng Tolong dong min di perbaiki lgi bug nya,tidak bisa transfer tolong dong baik lagi error,NEGATIVE
Sangat membantu dan terpercaya,sangat bantu percaya,POSITIVE
"no komen, gas terus pokoknya",nomor komen gas terus pokok,NEUTRAL
Beteh,beteh,NEGATIVE
asolole tak tung tung,asolole tidak tung tung,NEUTRAL
Saldo saya tiba2 hilang gimana ini?,saldo hilang,NEGATIVE
Hadehh gimana ini dana saya ga bisa di upgrade,hadehh tidak bisa upgrade,NEGATIVE
"Segera perbaiki lah ini gabisa login, butuh bgt buat beli paket tpi dana malah gabisa login, nomor sm pin udh bener padahal",baik tidak bisa butuh banget beli paket tidak bisa nomor pin,NEGATIVE
