content,content_clean,sentimen
madodep,madodep,NEGATIVE
Kenapa setiap mau transfer selalu disuruh pindah ke premium tapi pad pindah gagal truss...,transfer suruh pindah premium pad pindah gagal truss,NEGATIVE
mau login susah bener. apa mau jawab bersihkan cache? semua udah gw lakuin bgsd,login susah bener sih cache gw lakuin bgsd,NEGATIVE
"Dana ko macet ya , mau tempel nomor GK bisa di klik. Aku kuota ada loh. Satu bintang dlu deh",ko macet tempel nomor tidak klik kuota bintang dlu,NEGATIVE
Akun dana saya tak bisa masuk,akun tidak masuk,NEUTRAL
Blom premiim,blom premiim,POSITIVE
baguss sekali aplikasi nya,baguss,POSITIVE
aplikasi yg sangat membantu dan bagus,bantu bagus,POSITIVE
Pokok nya mantap 👍😀,pokok mantap,POSITIVE
Sekarang apk dana kurang stabil dan gk jelas uang tiba tiba hilang ..mending pake gopay lebih bagus dan refund uang pun gk harus nunggu,kurang stabil tidak uang hilang mending pakai gopay bagus refund uang tidak nunggu,NEGATIVE
"Ini aplikasi keuangan terburuk yang pernah saya pakai, sebenarnya dapat bintang satu pun nggak layak",uang buruk pakai bintang tidak layak,NEGATIVE
Ok gasss,ok gasss,NEGATIVE
Saldoq berkurang terus tanpa melakukan transaksi.. Udah laporan hanya durung menunggu trus,saldoq kurang transaksi lapor durung tunggu trus,NEGATIVE
Susah amat buat upgrade ke premium!!!,susah upgrade premium,NEGATIVE
Cemana cara verifikasi ny woy Uda login ulang tpi GK dapet notifikasi terus,cemana verifikasi ny woy uda login ulang tpi tidak dapet notifikasi,NEUTRAL
Mau upgrade aja dipersulit,upgrade sulit,NEGATIVE
"sangat burukkkkkkkkk😠😠😠😠,lemot dan mesti refres trus klo mau pake",burukkkkkkkkk lambat mesti refres trus klo pakai,NEGATIVE
mantap bagussss,mantap bagussss,POSITIVE
Mau upgrade ke premium sangat sulit padahal foto untuk persyaratan sudah jelas.,upgrade premium sulit foto syarat,NEGATIVE
joooss,joooss,NEGATIVE
urusan transfer yg mudah dan cepat,urus transfer mudah cepat,POSITIVE
mohon update selanjutnya setiap membuka dana atau bertransaksi pake dana nyalakan aja kameranya biar semua terhindar dari penipuan seperti saya,mohon update buka transaksi pakai nyala kamera biar hindar tipu,NEUTRAL
Saya kehilangan saldo sebesar 550.000 karena di hack GK tau siapa padahal tidak ada perihal otp yg masuk di di hp saya pihak dana pelayanan nya kurang bertanggung jawab padahal udah pakai DANA udah lama jangan pakai apk ini bahaya,hilang saldo hack tidak tau tidak perihal otp masuk hp layan kurang tanggung pakai jangan pakai bahaya,NEGATIVE
Lemot terlalu berat ini aplikasi,lambat berat,NEGATIVE
Fitur keamanan jelek uangku hilang !!! admin di chat plonga plongo bosok,fitur aman jelek uang hilang admin chat plonga plongo bosok,NEGATIVE
Sangat membantu kinerja dalam pekerjaan,bantu kerja kerja,POSITIVE
Ana kasih 5 bintang Ana mau tanya kenapa yach aplukasi dana udh 2x ana intal tapi kenapa bila bila kirim uang hasilnya masih sama 6.554 kemaren kirim ke dana uang 167 sampai sekiaan tetep ajh nilainya engga berubah masih sama segitu juga 6.554 Tolong dong apa sy harus instal baru lg aplikasi dananya🧖😔,ana kasih bintang ana yach aplukasi ana intal kirim uang hasil kemaren kirim uang kia tetep ajh nilai engga ubah segitu tolong sy instal lg dana,NEGATIVE
"Baru Kali ini saya kasih rate 1 ke aplikasi yang saya gunakan Tolong dong perbaiki Agak pake otak kalau ngasih notifikasi , sehari bisa sampai 8x, bahkan lebih kalau transaksi Gampang sebenernya tinggal nonaktif notif Tapi lama lama orang gedek juga kalau harus matiin notif, saya kecewa. Tes seminggu, notif lebih dari 5 sehari uninstall, sekarang udah banyak wallet yang fee dan terpercaya juga.",kali kasih rate tolong baik pakai otak ngasih notifikasi hari transaksi gampang sebenernya tinggal nonaktif notif orang gedek matiin notif kecewa tes minggu notif hari uninstall wallet fee percaya,NEGATIVE
pakai dana mau apa pun jadi mudah makasih dana,pakai mudah makasih,POSITIVE
tolong dong diperbaikin kemarin bilang nya sudah sudah tuntas sekali aku isi saldo eh teryata masih juga hilang bukan enak cari duit padahal duit itu mau bikin mau beli pupuk sama bibit kalau sudah hilang macam ini gimana mau beli pupuk sama bibit 4juta lo duit ku yang sudah hilang di dana ini sama sekali tidak ad tanggung jawab nya mana lah orang mau percaya sama dana,tolong diperbaikin kemarin bilang tuntas isi saldo eh teryata hilang bukan enak cari uang uang bikin beli pupuk bibit hilang beli pupuk bibit juta uang ku hilang tidak ad tanggung orang percaya,NEGATIVE
sangat membantu sekali limit nya tambahin donk,bantu limit tambahin donk,POSITIVE
Karena kalo transfer harus upgrade ke premium dulu 😭🙏,kalo transfer upgrade premium,NEUTRAL
ko.sasah buka aplikasi nya,ko sasah buka,NEUTRAL
sangat baik mempermudah semuanya yg pnting keamanannya terjaga agar tidak di bobol orang,mudah pnting aman jaga tidak bobol orang,POSITIVE
Gw kagak bisa masukkin nomor gw cok setiap mau masuk Kin nomor malah jaringan anda bermasalah padhal jaringan bagus cok ayo lah Dana perbaiki cok,gw tidak masukkin nomor gw cok masuk kin nomor jaring masalah padhal jaring bagus cok ayo baik cok,NEGATIVE
"saldo saya hilang tanpa sepengetahuan saya ada transaksi QRIS , sudah 3 minggu belum ada kejelasan",saldo hilang tahu transaksi qris minggu belum jelas,NEUTRAL
"Saya saran kan jangan download, mending pake apk lain atau apalah yg penting jangan dana, apaan dompet dana digital tapi buat ke premium aja di persulit, kocak nih apk",saran jangan download mending pakai apa jangan dompet digital premium sulit kocak,NEGATIVE
"Halo owner dana perbaiki itu sdm anda, buat aplikasi yang berkualitas sedikit kenapa. Pilih orang orang terbaik buat kerja. Bagian it nya buang aja kalo kerja ga becus.",halo owner baik sdm kualitas pilih orang orang baik kerja it buang kalo kerja tidak becus,NEGATIVE
Appl yg sangat membantu saya,appl bantu,POSITIVE
WOI INI GIMANA WOI PUNYAKU ADA SALDONYA MAU MASUK KOK LOADING TERUS!!!!!,woi woi punya saldo masuk loading,NEUTRAL
Lgy ngapa tau ini gk bisa ke buka aplikasinya😤,lgy ngapa tau tidak buka aplikasi,NEUTRAL
gimana sih cara bikin akun gak bisa padahal udah pakai wifi kode nya lama tapi saya tetap rating bintang sekian terima kasih,bikin akun tidak pakai wifi kode rating bintang sekian terima kasih,NEGATIVE
dana godd,godd,NEGATIVE
Yemima Makdalena dellu,yemima makdalena dellu,NEUTRAL
Saya tidak bisa masuk ke akun saya. Bagaimana solusinya?,tidak masuk akun solusi,NEUTRAL
dana sangat markotop top dah,markotop top dah,POSITIVE
Gmna sih udh msukin no nya bner trus pin nya jga bner mlah gbisa msuk loh,msukin no bner trus pin jga bner mlah gbisa msuk,NEGATIVE
"banyak penipuannya, keamanannya tolong ditingkatkan",tipu aman tolong tingkat,NEGATIVE
Mau upgrade ke premium aja SUSAH beda sama aplikasi e money lain nya.. kesan nya di persulit. uang saya ketahan diaplikasi ini aduhh aplikasi e money paling ribet dan disuruh chat Diana untuk membuat laporan dikasih tenggat waktu 3-5 hari ini udah 3 hari kok masih belum ada jawabannya kerja atau tidur jangan buat customer kecewa.,upgrade premium susah beda money kesan sulit uang tahan aplikasi aduhh money ribet suruh chat ana lapor kasih tenggat belum jawab kerja tidur jangan customer kecewa,NEGATIVE
"Dana sekarang sudah tidak aman,danaku kebobolan kehack",tidak aman dana bobol kehack,NEGATIVE
sangat menudah jk terdesak dengan uang,menudah jk desak uang,NEGATIVE
Saldo saya hilang begitu saja..pengaduan lewat email lawat apk yang jwb boot..saya saran kan mending jangan pakai dana,saldo hilang adu email lawat jwb boot saran mending jangan pakai,NEGATIVE
"transaksi sering tidak masuk, lalu uang tidak dikembalikan",transaksi tidak masuk uang tidak kembali,NEGATIVE
Aplikasi ini sangat tidak aman saldo saya saja tiba-tiba menghilang sebesar 350.000 kalian jangan mau mendownload aplikasi dana dan aplikasi dana tidak ada tempat pengaduan. MOHON KEMBALIKAN UANG DAYA SEBESAR 350.000 ANJINGGG,tidak aman saldo hilang jangan mendownload tidak adu mohon kembali uang daya anjinggg,NEGATIVE
ok dana mantap,ok mantap,POSITIVE
Knpa gabisa buat upgrade eKTP biar bisa jdi dana premium,knpa tidak upgrade ektp biar premium,NEUTRAL
Aplikasi DANA emang yg paling ok dahhh👍,emang ok dahhh,POSITIVE
saya beli paket dana udah seharian sampe skrng tidak ada proses,beli paket hari sampe skrng tidak proses,NEUTRAL
sangat memuaskan.,muas,POSITIVE
Tak buka dana dompet,tidak buka dompet,NEUTRAL
"Jangan pake aplikasi dana klok mereka sudah kerjasama sama penipu, diiming""i hadiah jutaaan disuruh top up dulu, pas minta bantuan dana, dana lepas tangan, itu sudah artinya mereka kerjasama sama penipu, jangan download aplikasi dana bangkai penipu",jangan pakai klok kerjasama tipu diiming hadiah jutaaan suruh top up pas bantu lepas tangan kerjasama tipu jangan download bangkai tipu,NEGATIVE
"SAYA PENGGUNA LAMA, SERING EROR , JARINGAN BAGUS MAU LOGIN AJA SUSAH EROR DI SAAT SAAT PENTING SUDAH CLEAR CACHE, CLEAR DATA , BAHKAN UNINSTAL , INSTAL LAGI SAMA AJA , GAK ADA PERUBAHAN !!!!!!!!!!",guna error jaring bagus login susah error clear cache clear data uninstal instal tidak ubah,NEUTRAL
Sangat bagus cma kok blom smua akun dana yg ada menu danacicil nya,bagus cma blom smua akun menu danacicil,NEGATIVE
"Gajelas, gimana mau ambil dan transaksi di dana Upgrade aplikasi ke premium gak sukses2, tolonglah jangan chat robotik, pake lah pelayanan menggunakan user biar tahu kendala orang",tidak ambil transaksi upgrade premium tidak sukses tolong jangan chat robotik pakai layan user biar kendala orang,NEGATIVE
"Ini kenapa dana ku tidak ada notifikasi nya, padahal sudah di update ke versi terbaru, tetap saja tidak ada notifikasi saat terima uang, tolong di perbaiki min.",ku tidak notifikasi update versi baru tidak notifikasi terima uang tolong baik min,NEGATIVE
"apelikasi bermanfaat bagi orang orang, ayo segera dwonload aplikasi ini sekarang juga",apelikasi manfaat orang orang ayo dwonload,POSITIVE
bagus bnget bisa inves juga,bagus bnget inves,POSITIVE
"Kenapa setiap login kedana gagal masuk terus?dan kenapa setiap GK pernah login dana sekalinya log-in malah suruh masukin no telp,?",login dana gagal masuk tidak login sekali log in suruh masukin no telp,NEGATIVE
"Saya merasa di rugikan dari pihak dana , transfer ke teman berhasil saldo dana saya terpotong tapi saldo tidak masuk ke teman saya",rugi transfer teman hasil saldo potong saldo tidak masuk teman,NEGATIVE
Semoga Bisa,moga,POSITIVE
Tolong akun DANA saya dibajak sama Pencuri. Gimana caranya akun DANA saya bisa kembali kepada saya,tolong akun bajak curi akun,NEUTRAL
ini kenapa susah transaksi orang lagi darurat,susah transaksi orang darurat,NEGATIVE
bsik,bsik,NEGATIVE
Sungguh membantu sangat,sungguh bantu,POSITIVE
"TOP UP TRANSAKSI SUKSES TPI UANG BLM MASUK, KECEWA",top up transaksi sukses tpi uang belum masuk kecewa,NEUTRAL
Terbantu,bantu,POSITIVE
sangat membantu sekali &lebih praktis tis tis tis...,bantu praktis tis tis tis,POSITIVE
"Dana ini tidak aman , kenapa aplikasi dana bisa di hack sama orang lain uang saya barusan lenyap semua 400rb ko bisa di hack aplikasi nya kurang aman ini",tidak aman hack orang uang barusan lenyap rb ko hack kurang aman,NEGATIVE
fast respond i like it,fast respond like it,NEUTRAL
Makin kesini dana jadi aneh masa aku mau login jdi gak bisa masuk padahal no nya benar dan masih ada tapi gak ada kode otp masuk kan aneh,kesini aneh login tidak masuk no tidak kode otp masuk aneh,NEGATIVE
sangat bagus dan terpercaya,bagus percaya,POSITIVE
"Saldo saya hilang di dana,akum saya kebobol pdhal sya tdk beri kode KTP",saldo hilang akum bobol pdhal sya tidak kode ktp,NEUTRAL
Pelayanan yang kurang sehat robot truss jawabny Gmail dak di jawaban nunggu sampeh kiamat. FB nunggu sampeh gilo. Mno Indonesia nak maju,layan kurang sehat robot truss jawabny gmail dak nunggu sampeh kiamat fb nunggu sampeh gilo mno indonesia nak maju,NEGATIVE
"Saya mau menarik uang saja sangat sulit di 2 akun dana. Mau tutup saja akun dana yang ga bisa membantu. Masih mending dana yang dulu ga ribet urusannya Lelah dengan applikasi dana, ambil saja uang di dalam akun saya itu semoga berkah",tarik uang sulit akun tutup akun tidak bantu mending tidak ribet urus lelah applikasi ambil uang akun moga berkah,NEGATIVE
Sagat sagat baek 2sajak,sagat sagat baek sajak,NEGATIVE
"Merasa tertipu, beli voucher biar lebih murah bayar.y, malah hangus ketika terjadi refund",tipu beli voucher biar murah bayar hangus refund,NEGATIVE
Punya fitur dana cicil ko mesti di pilih pilih. Saya sudah premium dan sering bertransaksi sampe sekarang mana tuh GK ada fitur2 gitu.. bututttttttt lah dana .. ngasih fitur harus milih2. Tuh liat dana saya sudah premium sering bertransaksi masih aja kaya dana baru jadi. Samppahh,fitur cicil ko mesti pilih pilih premium transaksi sampe tidak fitur gitu bututttttttt ngasih fitur milih liat premium transaksi kaya samppahh,NEGATIVE
pinjaman mudah cpet,pinjam mudah cpet,POSITIVE
Ini knp ya aku update brp kli gabisa gbisa mulu,knp update brp kli tidak gbisa,NEUTRAL
"Kehilangan SALDO RP 43000 tidak merasa transfer kesiapapun, saat buat laporan malah GK ada tanggapan.. tidak mengharapkan ganti rugi tapi dengan ini saya tahu.. kalo keamanan DANA tidak ada mudah di curi, kapoklah mending langsung ke bank atau ATM langsung...",hilang saldo rp tidak transfer siapa lapor tidak tanggap tidak harap ganti rugi kalo aman tidak mudah curi kapok mending langsung bank atm langsung,NEGATIVE
"bapak kw dana ak tibe"" tak bise di buka duet ak ad di situ anjeng",kw ak tibe tidak bise buka duet ak ad situ anjeng,NEUTRAL
alay bet ni aplikasi mau jadi akun premium banyaaaaak bet di suruh nya trus setelah semua nya telah di lakuin tetap juga gagal,alay bet ni akun premium banyaaaaak bet suruh trus lakuin gagal,NEGATIVE
Tiap bikin dana permium gagal mulu segitu lengkap semua tolong d kondisikan lah kecewe sama apk dana,bikin permium gagal segitu lengkap tolong kondisi kecewe,NEGATIVE
"kinerja dana sekarang kurang banget, sering lemot padahal jaringan lancar aja buat buka aplikasi lain",kerja kurang banget lambat jaring lancar buka,NEGATIVE
ok keren 👍👍👍👍👍 aplk DANA,ok keren aplk,POSITIVE
"Susah login padahal pengguna setia, di bikin ribet, permuk gak bisa, pin gak d kasih kode otp..",susah login guna setia bikin ribet muk tidak pin tidak kasih kode otp,NEGATIVE
Dana sekarang kok susah ya? Semalam ngisi kuota tri sampai sekarang belum berhasil. Tulusannya sedang diproses.,susah malam ngisi kuota tri belum hasil tulus proses,NEGATIVE
e-walet termudah dan sgt membantu,walet mudah sgt bantu,POSITIVE
"APLIKASI GAK GUNA, CUSTOMER ADA KELUHAN TAPI TIDAK BISA MEMBANTU, HANYA BOT YANG MENANGGAPI.",tidak customer keluh tidak bantu bot tanggap,NEUTRAL
"Kirim sesama dana, yang nerima ada biaya potongan",kirim nerima biaya potong,NEUTRAL
"Mantap ni aplikasi bisa dapat saldo gratis saat main gem yang dapat saldo gratis dana, sayangnya cuma 1000 doang tidak bisa 1 juta, karena gw ditipu 😆",mantap ni saldo gratis main gem saldo gratis sayang doang tidak juta gw tipu,NEGATIVE
Mau abngead premium aja susah banget,abngead premium susah banget,NEGATIVE
aplikasi dana bagus terpercaya,bagus percaya,POSITIVE
"Masalah salah kirim ke nomor yg salah 1 angka belakang Terus cs dana tidak bisa menghendel, malah disuruh menghubungi nomor tersebut dan suruh lapor ke pihak kepolisian Sedangkan nomor tersebut tidak terdaftar WhatsApp dan ditelpon seluler biasa tidak aktif kemungkinan akun tersebut sudah tidak digunakan sama pemilik nya Anehnya kok bisa terkirim padahal nomor tersebut tidak ada namanya Saya akui itu emang kelalaian saya Tapi anehnya kok pihak dana tidak bisa mengatasi permasalahan seperti itu",salah kirim nomor salah angka customer service tidak hendel suruh hubung nomor suruh lapor polisi nomor tidak daftar whatsapp telpon seluler tidak aktif akun tidak milik aneh kirim nomor tidak nama aku emang lalai aneh tidak atas masalah,NEGATIVE
Mantap buat bisnis sampingan sayaa,mantap bisnis samping sayaa,POSITIVE
boleh saingan dgn mobile bangking,saing dgn mobile bangking,NEGATIVE
Aplikasi yang sangat bagus dan sangat membantu karena penggunaan nya sangat mudah,bagus bantu guna mudah,POSITIVE
transaksi mudah .good lah bintang nya yg bicara,transaksi mudah good bintang bicara,POSITIVE
ok sangat membantu,ok bantu,POSITIVE
keren tapi sering ngebug padahal udah bayar tetapi yg dibeli tidak dikirim,keren ngebug bayar beli tidak kirim,NEGATIVE
IM,im,POSITIVE
"Ini kenapa pulsa yng dikirim ga masuk² atau ke kirim? Nunggu 1jam lg, lebih 12 jam ini, gmn pelayanannya ini?? Mau beli token listrik atau kirim pulsa lagi nanti ngantri lagi krna ini masalah 1 blm selesai²? Mau batalin transaksi juga ga bisa!",pulsa yng kirim tidak masuk kirim nunggu jam lg jam gmn layan beli token listrik kirim pulsa ngantri belum selesai batalin transaksi tidak,NEGATIVE
mksih ...sangat membantu,mksih bantu,POSITIVE
ѕaya нnya вιѕa мeмвerιĸan вιnтang 1 ĸarena ѕaya тιdaĸ вιѕa мeмвυaт daтa ѕaya ѕaмa ѕeĸalι ѕelaмa 3 нarι percoвaan мngĸιn мnrт yg laιn вagυѕ тpι вagι yaaa yaaa вegιтυlaн🙏,aya eeran nang arena aya da ea daa aya aa eal elaa ar percoaan ngn nr lan ag ag yaaa yaaa egla,NEUTRAL
Sangat kecewa sudah download aplikasi dana dan sudah di uninstal beberapa kali tetap saja gk bisa log in,kecewa download uninstal kali tidak log in,NEGATIVE
Katanya mau ada dana paylater kok sampe skrg blm ada?,paylater sampe skrg belum,NEGATIVE
Maaf gua kasih bintang satu karana kenapa saldo gua ilang mulu gatau kemana padahal gua ngak transaksi apa apa di riwayatnya pun ngak ada transaksi apa apa tapi saldo gua malah ngilang gatau kemana aplikasi dana jadi jelek,maaf kasih bintang karana saldo ilang gatau mana ngak transaksi riwayat ngak transaksi saldo ngilang gatau mana jelek,NEGATIVE
"bagus, memudahkan",bagus mudah,POSITIVE
"Assalamu'alaikum kepada bapak dana yang terhormat,kenapa akun dana saya ga bisa masuk,masuk,",assalamu alaikum hormat akun tidak masuk masuk,NEUTRAL
praktis dan mudah,praktis mudah,POSITIVE
Ia.m good,good,POSITIVE
jadi mudah segalanya,mudah,POSITIVE
dana memang esdebes,esdebes,NEGATIVE
Serius deh CS DANA paling lemotttttt nunggu 20 menit tapi tidak direspon🤬🤬,serius customer service lemotttttt nunggu menit tidak direspon,NEGATIVE
Selalu sukse,sukse,NEUTRAL
Travellink dana konsultasi,travellink konsultasi,NEUTRAL
"Miris transaksi pulsa saya lama sekali progresnya, Saya chat call centernya juga slow respon banget! Harus menunggu 7 jam lebih baru direspon",miris transaksi pulsa progres chat call centernya slow respon banget tunggu jam direspon,NEGATIVE
Kenapa sih untuk upgrade gk bisa bisa padahal sudah pakai bantuan asisten digital Diana tapi tetap blm bisa upgrade juga,upgrade tidak pakai bantu asisten digital ana belum upgrade,NEGATIVE
bagus sekali aplikasi nya selain mudah juga cepat sekali transaksi ny,bagus mudah cepat transaksi ny,POSITIVE
"Apakah dari pihak dana ada bagi bagi uang sebesar 2 jt rupiah, karena ada yg mengatas namakan dana memberikan uang sebesar 2 juta rupiah? Tolong diberikan penjelasan, terima kasih 🙏",uang jt rupiah atas nama uang juta rupiah tolong jelas terima kasih,NEUTRAL
memudahkan kita bertran saksi,mudah bertran saksi,NEUTRAL
"Tolong perbaiki saya mencoba login tapi gabisa udah beberapa kali coba ttp eror padahal kemaren-kemaren ga kenapa-kenapa, tolong pihak Dana segera perbaiki krna ini menghambat transaksinya",tolong baik coba login tidak kali coba ttp error kemaren kemaren tidak tolong baik hambat transaksi,NEGATIVE
sudah dana premium tapi setelah saya buka 1 bulan kemudian dana premium tidak bisa/notif belum upgrade dana premium,premium buka premium tidak notif belum upgrade premium,NEUTRAL
"Alhamdulillah, Terbantu dan memperingan.",alhamdulillah bantu pering,POSITIVE
Tolong google PlayStore blokir apk ini Apk ini tukang maling penipu,tolong google playstore blokir tukang maling tipu,NEGATIVE
"Untuk upgrade premium dipersulit, sudah lapor customer service, data sudah di kirim lengkap dan jelas masih saja belum ada info. Bilangnya suruh tunggu 3-5 hari kerja tapi nyatanya sudah seminggu lebih belum ada kejelasan. Tolong profesional dong aplikasi sudah besar tp masalah seperti ini lambat penanganan nya!!!!!",upgrade premium sulit lapor customer service data kirim lengkap belum info bilang suruh tunggu kerja minggu belum jelas tolong profesional tp lambat tangan,NEGATIVE
"Tolong bantu saya harus hubungin kmana ??akun saya baru saya perbarui blom masuk udah suruh verifikasi ,,lah masuk aja blom gmna mah verifikasi..tolong admin segera di tindak lanjuti saya bener2 butuh",tolong bantu hubungin kmana akun baru blom masuk suruh verifikasi masuk blom mah verifikasi tolong admin tindak lanjut bener butuh,NEGATIVE
Jadi ribet kalo mau premium,ribet kalo premium,NEGATIVE
Bagai mana ya caranya mau login ke akun dna saya yg sdh premium tanpa otp dan no hp sdh hilang,login akun dna premium otp no hp hilang,NEUTRAL
"Tidak bisa login , diminta masukin kode verifikasi tapi gak ada notifikasi , aplikasi dana kurang bagus",tidak login masukin kode verifikasi tidak notifikasi kurang bagus,NEGATIVE
"Ini gmn duit gua ga bisa di kirim katanya harus upgrade premium, tapi kaga bisa mulu aplikasi gajelas",gmn uang tidak kirim upgrade premium tidak tidak,NEGATIVE
"mantap,,bagus sangat berguna",mantap bagus guna,POSITIVE
Mantap!!!multi fungsi,mantap multi fungsi,POSITIVE
"Semuanya jadi serba mudah, thx dana",serba mudah thx,POSITIVE
sangat bermanfaatak,bermanfaatak,POSITIVE
apk dana top,top,POSITIVE
"ini gimana sih mau apgred ke premium kok gak bisa terus, tolong lah jangan di persulit terus",apgred premium tidak tolong jangan sulit,NEGATIVE
Jngn pake apk ini saldo di tarik oleh adminnya,jngn pakai saldo tarik adminnya,NEUTRAL
beli pulsa dpt diskon,beli pulsa dpt diskon,NEUTRAL
App lemot,lambat,NEGATIVE
puas sekali pake dana,puas pakai,POSITIVE
mantull... penggunaan nya,mantull guna,POSITIVE
kendala mulu dah,kendala dah,NEGATIVE
"Semakin tidak bisa bertransaksi, akun oneklik di tutup. Padahal sangat mudah menggunakan DANA, Tapi sekarang sangat tidak worth it!",tidak transaksi akun oneklik tutup mudah tidak worth it,NEGATIVE
"sangat memuaskan dan bikin bisnis juwalan pulsa, tranfer ke bank, isi dana sangat mempermudah semoga ttp selalu langganan.... setiap tahun ya dapet bonus THR🤭",muas bikin bisnis juwalan pulsa tranfer bank isi mudah moga ttp langgan dapet bonus thr,POSITIVE
Lumayan berguna sii,lumayan guna sii,POSITIVE
suka sama kamuh,suka kamuh,POSITIVE
Sangat membantu banget pokonya biar bibtang yg berbicara .,bantu banget poko biar bibtang bicara,POSITIVE
"Proteksi dana tidak bisa beli pulsa/paket data, sekarang sudah di respon oleh dana bisa beli pulsa paket data makasih 😃👍🙏",proteksi tidak beli pulsa paket data respon beli pulsa paket data makasih,NEUTRAL
"Woi dana nomor gw sama sandi bener, dan nomor gw masih aktif tapi kok gw gak ada masuk notif nya dari dana ya, mohon perbaiki lah",woi nomor gw sandi bener nomor gw aktif gw tidak masuk notif mohon baik,NEGATIVE
sangat bermanfaat dan mudah untuk di gunakan,manfaat mudah,POSITIVE
"Gimana sii min susah bgt mau upgrade ke premium,, kan saldo jadi GK bisa dii pakai... Udah minta bantuan ke Customer service ngirim data segala tetap aja gak bisa",sii min susah banget upgrade premium saldo tidak dii pakai bantu customer service ngirim data tidak,NEGATIVE
Upgrade premium. Daftar dh lngkap ttp sama gk bisa buat yg lainnx saldo dh ada ttp gk bisa dtarik.,upgrade premium daftar dh lngkap ttp tidak lainnx saldo dh ttp tidak dtarik,NEUTRAL
Beli pulsa jam 8 malam Sampe bsok siang blum jga berhasil Di tanya katnya msih proses. Proses trus smpe kapan ang Minta refund nda di belehin kan asw Aku btuh bgo Nyangkut dah uang nda bsa di apa apain asw SC*M,beli pulsa jam malam sampe bsok siang blum jga hasil katnya msih proses proses trus smpe ang refund nda belehin asw btuh bgo nyangkut dah uang nda bsa apain asw sc,NEGATIVE
APLIKASI BABII GAK BISA UPGRADE PREMIUM ASU JANCOKK APLIKASI SAMPAH,babi tidak upgrade premium asu jancokk sampah,NEUTRAL
Kenapa malah gak bisa login aneh banget ini dana padahal masih ada saldonya,tidak login aneh banget saldo,NEGATIVE
Saya mau masuk akun dana saya tapi gak bisa,masuk akun tidak,NEUTRAL
Setiap mo msuk tidak bisa alsannya karena jaringan pdhl jrgn lncar,mo msuk tidak alsannya jaring pdhl jrgn lncar,NEUTRAL
saya belum bisa mengirim uang ke sesama akun dana,belum kirim uang akun,NEUTRAL
jelek bgt masa apa'kpotong,jelek banget kpotong,NEGATIVE
"Sayakan tarik dana terus salah nomer tapi gak bisa di batalkan, tolong dong buat aplikasi nya buat bisa balikan dana saya",saya tarik salah nomer tidak batal tolong balik,NEGATIVE
"Buruk... Kontak CS ga di tanggapi, yang nanggapi cuman bot terus bot terus, mau tanya akun saya gabisa terima dana kaget, tapi CS nya bot... Paraaah parah",buruk kontak customer service tidak tanggap nanggapi cuman bot bot akun tidak terima kaget customer service bot paraaah parah,NEGATIVE
Setelah di upgrade kaga bisa masuk akun dana,upgrade tidak masuk akun,NEUTRAL
dana harus mempunyai tindakan lebih lanjut terkait saldo yg tiba tiba terpotong/ habis. karna kejadian trsbt saya tidak pernah mau menggunakan dana lagi.,tindak kait saldo potong habis jadi trsbt tidak,NEGATIVE
aplikasi ini membuat saya merasa nyaman dan aman untuk digunakan sebagai alat transaksi,nyaman aman alat transaksi,POSITIVE
Harusnya akun bisa dihapus total... Ini cuma dinonaktifkan saja,akun hapus total nonaktif,NEGATIVE
"Terimaksih udah memberi kemudahan jadi dana peremium, full bintang dong,",terimaksih mudah peremium full bintang,POSITIVE
"Pas mindahin dari saldo bisnis ke saldo pribadi abis itu verivikasi wajah ngelagnya bukan main, bisa berkali"" ngulang verivikasi wajah terus dan saldo bisnisnya nggak masuk"" ke saldo pribadi",pas mindahin saldo bisnis saldo pribadi abis verivikasi wajah ngelagnya bukan main kali ngulang verivikasi wajah saldo bisnis tidak masuk saldo pribadi,NEGATIVE
Tidak bisa login.hrus verifikasi dlu tp verifikasi nya d kirim k akun dana.trus gmna mau verifikasi.aneh,tidak login hrus verifikasi dlu tp verifikasi kirim akun trus verifikasi aneh,NEGATIVE
Sering maling saldo penguna,maling saldo penguna,NEGATIVE
sangat membantu sekali punya aplikasi dana..,bantu,POSITIVE
"Dulu dana ada saldo sekitar 70 rb , setelah download hilang saldo dana saya . Tolong tanggapannya .( nama dan nomor telpon sama ).....",saldo rb download hilang saldo tolong tanggap nama nomor telpon,NEUTRAL
Alhamdulillah sy punya aplikasi ini bisa membantu sy kirim dana ke dana SJ simpel lgsung meluncur ke tujuan sy GK Thu klo bank lainnya trima kasih,alhamdulillah sy bantu sy kirim sj simpel lgsung luncur tuju sy tidak thu klo bank trima kasih,POSITIVE
"fitur dan layanannya lengkap, sangat membantu",fitur layan lengkap bantu,POSITIVE
Ga bisa masuk2 dana ga ada kode verifikasinya kacaulah.. sudah dicoba berulang kali hapus dana dan data cache tetep ajj begitu2 lagi.. ga ada kode verifikasinya,tidak masuk tidak kode verifikasi kacau coba ulang kali hapus data cache tetep ajj tidak kode verifikasi,NEGATIVE
"Aplikasi nya bagus,tp untuk DANA bisnis nggak recommend,Krn untuk pembayaran lewat qris proses masuk saldonya terlalu lama,lebih dari 24 jam",bagus tp bisnis tidak recommend krn bayar qris proses masuk saldo jam,NEGATIVE
Makin payah 🙄🙄,payah,NEGATIVE
